season,competition_id,club_id,club_name,matches_played,wins,draws,losses,goals_for,goals_against,points,goal_difference,position,competition_code,name,country_name,transfer_spending
2014,ES1,131,FC Barcelona,38,30,4,4,110,21,94,89,1,laliga,laliga,Spain,42000000.0
2014,ES1,418,Real Madrid FC,38,30,2,6,118,38,92,80,2,laliga,laliga,Spain,35000000.0
2014,ES1,13,Atlético Madrid,38,23,9,6,67,29,78,38,3,laliga,laliga,Spain,91350000.0
2014,ES1,1049,Valencia CF,38,22,11,5,70,32,77,38,4,laliga,laliga,Spain,18550000.0
2014,ES1,368,Sevilla FC,38,23,7,8,71,45,76,26,5,laliga,laliga,Spain,3000000.0
2014,ES1,1050,Villarreal CF,38,16,12,10,48,37,60,11,6,laliga,laliga,Spain,5700000.0
2014,ES1,621,Athletic Club Bilbao,38,15,10,13,42,41,55,1,7,laliga,laliga,Spain,0.0
2014,ES1,940,Celta Vigo,38,13,12,13,47,44,51,3,8,laliga,laliga,Spain,1400000.0
2014,ES1,1084,Málaga CF,38,14,8,16,42,48,50,-6,9,laliga,laliga,Spain,500000.0
2014,ES1,714,RCD Espanyol,38,13,10,15,47,51,49,-4,10,laliga,laliga,Spain,0.0
2014,ES1,367,Rayo Vallecano,38,15,4,19,46,68,49,-22,11,laliga,laliga,Spain,500000.0
2014,ES1,681,Real Sociedad,38,11,13,14,44,51,46,-7,12,laliga,laliga,Spain,8000000.0
2014,ES1,1531,Elche CF,38,11,8,19,35,62,41,-27,13,laliga,laliga,Spain,0.0
2014,ES1,3709,Getafe CF,38,10,7,21,33,64,37,-31,14,laliga,laliga,Spain,0.0
2014,ES1,3368,Levante UD,38,9,10,19,34,67,37,-33,15,laliga,laliga,Spain,0.0
2014,ES1,1533,SD Eibar,38,9,8,21,34,55,35,-21,16,laliga,laliga,Spain,0.0
2014,ES1,897,Deportivo LC,38,7,14,17,35,60,35,-25,17,laliga,laliga,Spain,0.0
2014,ES1,16795,Granada CF,38,7,14,17,29,64,35,-35,18,laliga,laliga,Spain,4583000.0
2014,ES1,3302,UD Almería,38,8,8,22,35,64,32,-29,19,laliga,laliga,Spain,0.0
2014,ES1,993,Córdoba CF,38,3,11,24,22,68,20,-46,20,laliga,laliga,Spain,0.0
2014,FR1,583,Paris Saint-Germain FC,38,24,11,3,83,36,83,47,1,ligue-1,ligue-1,France,0.0
2014,FR1,1041,Lyon,38,22,9,7,72,33,75,39,2,ligue-1,ligue-1,France,4150000.0
2014,FR1,162,Monaco FC,38,20,11,7,51,26,71,25,3,ligue-1,ligue-1,France,26750000.0
2014,FR1,244,Marseille,38,21,6,11,76,42,69,34,4,ligue-1,ligue-1,France,6000000.0
2014,FR1,618,Saint-Étienne,38,19,12,7,51,30,69,21,5,ligue-1,ligue-1,France,0.0
2014,FR1,40,Bordeaux,38,17,12,9,47,44,63,3,6,ligue-1,ligue-1,France,2500000.0
2014,FR1,969,Montpellier,38,16,8,14,46,39,56,7,7,ligue-1,ligue-1,France,0.0
2014,FR1,1082,Lille,38,16,8,14,43,42,56,1,8,ligue-1,ligue-1,France,6000000.0
2014,FR1,273,Rennes,38,13,11,14,35,42,50,-7,9,ligue-1,ligue-1,France,1000000.0
2014,FR1,855,Guingamp,38,15,4,19,41,55,49,-14,10,ligue-1,ligue-1,France,500000.0
2014,FR1,417,Nice,38,13,9,16,44,53,48,-9,11,ligue-1,ligue-1,France,500000.0
2014,FR1,595,Bastia,38,12,11,15,37,46,47,-9,12,ligue-1,ligue-1,France,0.0
2014,FR1,1162,Caen,38,12,10,16,54,55,46,-1,13,ligue-1,ligue-1,France,0.0
2014,FR1,995,Nantes,38,11,12,15,29,40,45,-11,14,ligue-1,ligue-1,France,0.0
2014,FR1,1421,Reims,38,12,8,18,47,66,44,-19,15,ligue-1,ligue-1,France,0.0
2014,FR1,1158,Lorient,38,12,7,19,44,50,43,-6,16,ligue-1,ligue-1,France,4000000.0
2014,FR1,415,Toulouse,38,12,6,20,43,64,42,-21,17,ligue-1,ligue-1,France,0.0
2014,FR1,14171,Évian TG,38,11,4,23,41,62,37,-21,18,ligue-1,ligue-1,France,250000.0
2014,FR1,347,Metz,38,7,9,22,31,61,30,-30,19,ligue-1,ligue-1,France,0.0
2014,FR1,826,Lens,38,7,8,23,32,61,29,-29,20,ligue-1,ligue-1,France,0.0
2014,GB1,631,Chelsea,38,26,9,3,73,32,87,41,1,premier-league,premier-league,England,33500000.0
2014,GB1,281,Manchester City,38,24,7,7,83,38,79,45,2,premier-league,premier-league,England,60000000.0
2014,GB1,11,Arsenal,38,22,9,7,71,36,75,35,3,premier-league,premier-league,England,97730000.0
2014,GB1,985,Manchester United,38,20,10,8,62,37,70,25,4,premier-league,premier-league,England,167750000.0
2014,GB1,148,Tottenham,38,19,7,12,58,53,64,5,5,premier-league,premier-league,England,40180000.0
2014,GB1,31,Liverpool,38,18,8,12,52,48,62,4,6,premier-league,premier-league,England,143930000.0
2014,GB1,180,Southampton FC,38,18,6,14,54,33,60,21,7,premier-league,premier-league,England,26500000.0
2014,GB1,2288,Swansea City,38,16,8,14,46,49,56,-3,8,premier-league,premier-league,England,15990000.0
2014,GB1,512,Stoke City,38,15,9,14,48,45,54,3,9,premier-league,premier-league,England,0.0
2014,GB1,873,Crystal Palace,38,13,9,16,47,51,48,-4,10,premier-league,premier-league,England,9100000.0
2014,GB1,29,Everton,38,12,11,15,48,50,47,-2,11,premier-league,premier-league,England,35360000.0
2014,GB1,379,West Ham,38,12,11,15,44,47,47,-3,12,premier-league,premier-league,England,12250000.0
2014,GB1,984,West Brom,38,11,11,16,38,51,44,-13,13,premier-league,premier-league,England,2400000.0
2014,GB1,1003,Leicester City,38,11,8,19,46,55,41,-9,14,premier-league,premier-league,England,10260000.0
